name,province,district,county,type,lat,long,date
ESC. GUALACA,Chiriqui,Gualaca,Gualaca,FO,8.525916,-82.299642,26/11/2018
C.E.B.G. PASO CANOA INT.,Chiriqui,Baru,Progreso,FO,8.537336,-82.838453,28/11/2018
CENTRO DE SALUD SANTA MARTA,Chiriqui,Bugaba,Santa Marta,FO,8.700081,-82.589891,27/11/2018
ESC. CERRO COLORADO,Chiriqui,Boqueron,Bágala,FO,8.509302,-82.535358,27/11/2018
CEBG. SANTA MARTA,Chiriqui,Boqueron,Paraíso,FO,8.700081,-82.589891,27/11/2018
ESC. AGUACATE,Chiriqui,Boqueron,Guabal,FO,8.630395,-82.545319,27/11/2018
Escuela Bilingüe Juntos Podemos,Panama,Panama,Curundú,PMP,8.969212,-79.543112,18/12/2018
CENTRO DE SALUD EL CRISTO,Cocle,Aguadulce,El Cristo,FO,8.254158,-80.618304,20/11/2018
Escuela Madera,Cocle,La Pintada,El Potrero,FO,8.553279,-80.534679,20/11/2018
Junta Comunal de Cañaveral,Cocle,Penonome,Cañaveral,HFC,8.47091,-80.399787,23/11/2018
Kiosko #1/Cinta Costera 1,Panama,Panama,El Chorrillo,PMP,8.966375,-79.53238,14/12/2018
Kiosko #2/Cinta Costera 1,Panama,Panama,El Chorrillo,PMP,8.966634,-79.532435,14/12/2018
Kiosko #3/Cinta Costera 1,Panama,Panama,El Chorrillo,PMP,8.967305,-79.532227,14/12/2018
Kiosko #4/Cinta Costera 1,Panama,Panama,El Chorrillo,PMP,8.973523,-79.52867,14/12/2018
Kiosko #5/Cinta Costera 1,Panama,Panama,El Chorrillo,PMP,8.973571,-79.528193,14/12/2018
Escuela Llano del Nance,Veraguas,Atalaya,Jesús Nazareno de Atalaya,FO,8.049068,-80.89583,7/12/2018
MIDES Changuinola,Bocas del Toro,Changuinola,Changuinola,PTP,9.45056,-82.52094,5/6/2019
Junta Comunal de Curundú,Panama,Panama,Curundú,PMP,8.970407,-79.544889,31/01/2019
Paseo Marino,Colon,Colon,Barrio Norte,PMP,9.365074,-79.896732,28/02/2019
Centro de Salud BISIRA,Comarca Ngobe Bugle,Kankintu,Bisira,Satelital,8.901111,-81.861111,
MIDES Las Tablas,Los Santos,Las Tablas,Las Tablas,FO,7.772023,-80.273462,19/06/2019
Centro de Salud Chiguiri Arriba,Cocle,Penonome,Chiguirí Arriba,Satelital,8.674993,-80.192054,8/7/2019
Centro Educativo Poussepin,Panama,Panama,Curundú,PMP,8.971944,-79.541667,22/05/2019
Area frente al Comedor Infantil de Curundú,Panama,Panama,Curundú,PMP,8.971769,-79.542203,22/05/2019
Escuela Pablo Ballesteros,Los Santos,Pedasi,Los Asientos,FO,7.515427,-80.131096,19/06/2019
Instituto Comercial Bolivar,Panama,Panama,Calidonia,PMP,8.963944,-79.537053,22/05/2019
Casa de Justicia Comunitaria de Paz Curundú,Panama,Panama,Curundú,PMP,8.969444,-79.544167,22/05/2019
Hospital Gustavo Nelson Collado,Herrera,Chitre,Llano Bonito,PMP,7.975114,-80.420552,16/11/2020
Biblioteca Las Pleyades,Cocle,La Pintada,La Pintada,Satelital,8.527,-80.376,
Cancha Deportiva de Tole,Chiriqui,Tole,Tole,FO,8.242854,-81.672607,10/6/2019
Municipio de Mariato,Veraguas,Mariato,Mariato,FO,7.654115,-80.989504,21/05/2019
Centro de Salud Kusapin,Comarca Ngobe Bugle,Kusapin,Kusapin,Satelital,9.184427,-81.891095,
CEBG San Luis Cuatro Calles,Colon,Donoso,Cocle del Norte,Satelital,8.923529,-80.406757,8/7/2019
Area al frente del Municipio de Panama,Panama,Panama,Ancón,PMP,8.970524,-79.533949,25/06/2019
CEBG Rio Guazaro,Veraguas,Santa Fe,Calovébora,Satelital,8.809004,-81.079943,
C.E.B.G Roberto Cibala,Veraguas,Santa Fe,Río Luis,Satelital,8.683215,-81.219841,
Caja de Ahorros Guarare,Los Santos,Guarare,Guarare,FO,7.821242,-80.28174,19/06/2019
Cancha de Football en Ciudad Radial,Panama,Panama,Juan Díaz,PMP,9.043463,-79.425119,25/06/2019
Parque Recreativo en Chanis,Panama,Panama,Parque Lefevre,PMP,9.022726,-79.482324,11/7/2019
Parque Heliodoro Patiño,Panama,Panama,Juan Díaz,PMP,9.045747,-79.444939,25/06/2019
Area frente al Museo de la Libertad,Panama,Panama,Ancón,PTP,8.94659,-79.554717,12/12/2019
Escuela Barriada Kuna,Colon,Colon,Cativá,FO,9.374829,-79.841781,5/7/2019
Escuela de Miramar,Colon,Santa Isabel,Miramar,FO,9.57525,-79.33741,
Parque El Manito Ocueño,Herrera,Ocu,San Sebastián de Ocu,FO,7.947,-80.778306,18/11/2020
CEBG Jacinta Maria Henríquez,Panama Oeste,Chame,Buenos Aires,FO,8.63165,-79.945606,
Parque de la Cancha de Baloncesto,Herrera,Pese,Pese,FO,7.909162,-80.617125,17/11/2020
Parque Mango,Panama,Panama,Ancón,PMP,8.94804,-79.553231,25/06/2019
Policia Nacional Area B Rolando Martinez,Panama,San Miguelito,Amelia Denis de Icaza,PMP,9.043572,-79.5018,
Area frente a la Fundación Pro Niños de Darién,Darien,Pinogana,Metetí,FO,8.547171,-78.009873,
Escuela Alejandro Tapia,Cocle,Aguadulce,Pocri,FO,8.251289,-80.533655,19/11/2020
PC Divalá,Chiriqui,Alanje,Divalá,FO,8.412688,-82.716011,
Escuela Bella Vista,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.312591,-82.855694,1/12/2020
Parque José Maria Núñez,Herrera,Ocu,San Sebastián de Ocu,FO,7.944452,-80.777149,18/11/2020
Área del Parque Infantil Paco Garcia,Chiriqui,David,San José de David,FO,8.428481,-82.430154,3/12/2020
Parque Andres Bello,Panama,Panama,Bella Vista,FO,8.989795,-79.526084,
Parque Urraca,Panama,Panama,Bella Vista,FO,8.975286,-79.528068,12/12/2019
Instituto Agro Forestal en Canglón,Darien,Pinogana,Metetí,FO,8.30198,-77.816432,
Autoridad de Turismo de Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,FO,9.33908,-82.23963,
Casa de Personal del CS,Colon,Donoso,Miguel de la Borda,Satelital,9.155132,-80.300514,
Escuela Altos de Cabuya,Panama,Panama,24 de Diciembre,FO,9.114223,-79.372958,
Hospital Nuevo Dionisio Arrocha,Chiriqui,Baru,Puerto Tomás Armuelles,FO,8.276711,-82.860834,1/12/2020
Area de la Plaza Simon Bolivar,Los Santos,Los Santos,La Villa de Los Santos,FO,7.937693,-80.414054,23/11/2020
Agencia del IDAAN - Santiago,Veraguas,Santiago,Santiago Apóstol,FO,8.095892,-80.984097,27/11/2020
Área del Parque de la Iglesia de Monagrillo,Herrera,Chitre,San Miguel de Monagrillo,FO,7.979764,-80.435892,19/11/2020
Escuela Paso Canoas Arriba,Chiriqui,Baru,Progreso,FO,8.55609,-82.828847,
Escuela Estado de Minnesota,Panama Oeste,Arraijan,Arraijan,FO,8.947837,-79.634163,
Junta Comunal Barrio Norte,Colon,Colon,Barrio Norte,HFC,9.360377,-79.903701,
CEBG Lorenza G de Lasso ,Panama,Chepo,El Llano,FO,9.221501,-78.965801,
CEBG Piriati Embera,Panama,Chepo,Madugandí,FO,9.051097,-78.623949,
IPT Jaime Melamed,Veraguas,Montijo,Pilón,FO,7.951523,-81.07184,23/11/2020
Escuela La Coca,Cocle,Anton,Caballero,FO,8.562278,-80.176742,
