name,province,district,county,type,lat,long
Esc. Isla Popa No 2,Bocas del Toro,Bocas del Toro,Punta Laurel,Primaria Oficial,"9° 13' 7.634"""" N","82° 8' 28.871"""" W"
Esc. Isla Tigre,Bocas del Toro,Bocas del Toro,Punta Laurel,Primaria Oficial,"9° 10' 30.248"""" N","82° 4' 54.579"""" W"
Esc. Punta Laurel,Bocas del Toro,Bocas del Toro,Punta Laurel,Primaria Oficial,"9° 8' 28.336"""" N","82° 7' 35.120"""" W"
Esc. Rio Oeste Abajo,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 15' 10.596"""" N","82° 24' 17.914"""" W"
Esc. Boca de Yorkín,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 36' 48.030"""" N","82° 50' 55.847"""" W"
Esc. Loma Bonita,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 22' 27.534"""" N","82° 29' 26.387"""" W"
Esc. Milla 03,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 18' 21.735"""" N","82° 24' 58.454"""" W"
Esc. Los Chiricanos,Bocas del Toro,Chiriqui Grande,Miramar,Primaria Oficial,"8° 58' 51.762"""" N","82° 13' 9.604"""" W"
Esc. Ojo de Agua,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 17' 34.693"""" N","82° 27' 20.373"""" W"
Esc. Almirante,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 17' 35.603"""" N","82° 23' 40.249"""" W"
Esc. Nvo. Paraíso,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 16' 56.954"""" N","82° 24' 46.013"""" W"
Esc. Finca 64,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 27' 32.278"""" N","82° 29' 45.531"""" W"
Esc. Finca 67,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 26' 10.722"""" N","82° 29' 48.662"""" W"
Esc. Mariano Thomas,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 47.985"""" N","82° 40' 36.703"""" W"
Esc. Finca 32,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 25' 37.029"""" N","82° 33' 21.088"""" W"
Esc. Finca California,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 32' 23.762"""" N","82° 35' 24.988"""" W"
Esc. Finca Débora,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 30' 52.638"""" N","82° 35' 41.412"""" W"
Esc. Finca 54,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 42.394"""" N","82° 35' 11.666"""" W"
Esc. I.P.T. El Silencio,Bocas del Toro,Changuinola,El Empalme,Secundaria Oficial,"9° 22' 31.927"""" N","82° 31' 38.528"""" W"
Esc. Bilingue Finca 8,Bocas del Toro,Changuinola,Changuinola (Cab.),Privada,"9° 26' 18.775"""" N","82° 31' 11.995"""" W"
Esc. Bilingue Changuinola,Bocas del Toro,Changuinola,Changuinola (Cab.),Privada,"9° 26' 55.449"""" N","82° 31' 14.028"""" W"
Esc. El Silencio,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 23' 26.643"""" N","82° 32' 3.330"""" W"
Esc. Finca 43,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 28' 31.581"""" N","82° 29' 54.211"""" W"
Esc. Finca 4,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 24' 7.485"""" N","82° 30' 0.886"""" W"
Esc. El Empalme,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 25' 15.012"""" N","82° 31' 8.754"""" W"
Esc. Changuinola,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 27' 21.926"""" N","82° 30' 49.831"""" W"
Col.. Sec. de Almirante,Bocas del Toro,Changuinola,Almirante,Secundaria Oficial,"9° 18' 1.108"""" N","82° 24' 39.309"""" W"
Esc. Finca 62,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 26' 59.309"""" N","82° 29' 2.959"""" W"
Esc. Finca 2,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 25' 1.390"""" N","82° 28' 52.852"""" W"
Esc. Tibite,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 19' 9.360"""" N","82° 27' 24.794"""" W"
Esc. Miraflores,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 18' 13.094"""" N","82° 26' 17.283"""" W"
Colegio Rogelio J. Ibarra,Bocas del Toro,Bocas del Toro,Bocas del Toro (Cab.),Secundaria Oficial,"9° 20' 26.293"""" N","82° 14' 32.743"""" W"
Esc. Rep. de Nicaragua,Bocas del Toro,Bocas del Toro,Bocas del Toro (Cab.),Primaria Oficial,"9° 20' 22.362"""" N","82° 14' 32.551"""" W"
Esc. Rambala,Bocas del Toro,Chiriqui Grande,Punta Peña,Primaria Oficial,"8° 55' 36.231"""" N","82° 10' 24.018"""" W"
Esc. Punta Peña,Bocas del Toro,Chiriqui Grande,Punta Peña,Primaria Oficial,"8° 54' 48.392"""" N","82° 11' 9.031"""" W"
Esc. Berta A. López C.,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 17' 42.552"""" N","82° 24' 16.331"""" W"
Esc. Finca 41,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 32.119"""" N","82° 37' 31.854"""" W"
Esc. Nievecita,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 32' 43.118"""" N","82° 44' 24.810"""" W"
Esc. Barranco Adentro,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 31' 59.633"""" N","82° 43' 42.759"""" W"
Esc. Qda. Canela,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 40.277"""" N","82° 42' 27.254"""" W"
Esc. Guabito,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 29.429"""" N","82° 36' 31.756"""" W"
Esc. San San Medio,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 25' 11.814"""" N","82° 37' 24.796"""" W"
Esc. Finca 44,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 28' 26.492"""" N","82° 28' 57.411"""" W"
Esc. Milla 10,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 23' 12.743"""" N","82° 28' 24.314"""" W"
Esc. Finca 66,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 26' 43.169"""" N","82° 31' 0.376"""" W"
Esc. Valle Junquito,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 22' 4.507"""" N","82° 29' 11.748"""" W"
Esc. La Gloria,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 20' 5.049"""" N","82° 29' 6.392"""" W"
Esc. Sursuba,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 20' 5.503"""" N","82° 32' 32.417"""" W"
Esc. Corriente Grande,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 18' 15.016"""" N","82° 32' 16.349"""" W"
Esc. Charagre,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 23' 20.197"""" N","82° 33' 47.976"""" W"
Esc. Bajo La Esperanza,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 17' 1.055"""" N","82° 30' 23.106"""" W"
Esc. Rio Oeste Arriba,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 15' 43.565"""" N","82° 25' 8.726"""" W"
Esc. Valle de Agua Arriba,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 14' 37.595"""" N","82° 22' 44.555"""" W"
Esc. Qda. Pastor,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 12' 29.255"""" N","82° 21' 55.969"""" W"
Esc. Zegla,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 22' 37.042"""" N","82° 32' 37.113"""" W"
Esc. Bonyic,Bocas del Toro,Changuinola,El Teribe,Primaria Oficial,"9° 20' 57.684"""" N","82° 35' 59.156"""" W"
Esc. San San Drury,Bocas del Toro,Changuinola,El Teribe,Primaria Oficial,"9° 26' 28.642"""" N","82° 40' 38.324"""" W"
Esc. San San Tigra,Bocas del Toro,Changuinola,El Teribe,Primaria Oficial,"9° 26' 20.924"""" N","82° 38' 57.577"""" W"
Esc. Ceiba,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 0' 56.991"""" N","82° 30' 43.459"""" W"
Esc. Nance de Risco,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 16' 0.106"""" N","82° 28' 12.119"""" W"
Esc. Valle del Risco,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 13' 45.252"""" N","82° 25' 42.702"""" W"
Esc. Pta. Peña de Risco,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 11' 51.069"""" N","82° 23' 53.771"""" W"
Esc. Guayacán,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 4' 21.968"""" N","82° 28' 3.194"""" W"
Esc. Charco La Pava,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 13' 54.992"""" N","82° 29' 44.626"""" W"
Esc. Colonia Santeña,Bocas del Toro,Bocas del Toro,Bocas del Toro (Cab.),Primaria Oficial,"9° 23' 41.805"""" N","82° 16' 11.706"""" W"
Esc. Carenero,Bocas del Toro,Bocas del Toro,Bocas del Toro (Cab.),Primaria Oficial,"9° 20' 17.884"""" N","82° 14' 6.925"""" W"
Esc. Bastimentos,Bocas del Toro,Bocas del Toro,Bastimentos,Primaria Oficial,"9° 20' 55.591"""" N","82° 12' 39.968"""" W"
Esc. Qda. Sal,Bocas del Toro,Bocas del Toro,Bastimentos,Primaria Oficial,"9° 17' 58.931"""" N","82° 6' 6.183"""" W"
Esc. Cayo de Agua,Bocas del Toro,Bocas del Toro,Punta Laurel,Primaria Oficial,"9° 9' 9.390"""" N","82° 3' 24.022"""" W"
Esc. Isla Popa No 1,Bocas del Toro,Bocas del Toro,Punta Laurel,Primaria Oficial,"9° 11' 9.579"""" N","82° 9' 12.899"""" W"
Esc. Arcelio Fitzgerald,Bocas del Toro,Bocas del Toro,Cauchero,Primaria Oficial,"9° 9' 29.156"""" N","82° 15' 17.267"""" W"
Esc. Bocatorito,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 14' 35.437"""" N","82° 15' 24.271"""" W"
Esc. Buena Esperanza,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 11' 35.110"""" N","82° 13' 31.825"""" W"
Esc. Tierra Oscura,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 12' 7.082"""" N","82° 16' 31.536"""" W"
Esc. San Cristóbal,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 17' 3.040"""" N","82° 16' 1.460"""" W"
Esc. Chiriqui Grande,Bocas del Toro,Chiriqui Grande,Chiriqui Grande (Cab.),Primaria Oficial,"8° 56' 44.138"""" N","82° 6' 52.520"""" W"
Esc. Pta. Robalo,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 2' 31.529"""" N","82° 14' 54.086"""" W"
Esc. El Tapao,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 5' 57.645"""" N","82° 16' 34.393"""" W"
Esc. El Escobal,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 8' 24.827"""" N","82° 20' 26.456"""" W"
Esc. Miramar,Bocas del Toro,Chiriqui Grande,Miramar,Primaria Oficial,"8° 59' 53.852"""" N","82° 14' 36.811"""" W"
Esc. Cañazas,Bocas del Toro,Chiriqui Grande,Punta Peña,Primaria Oficial,"8° 52' 20.776"""" N","82° 10' 52.411"""" W"
Esc. Boca del Drago,Bocas del Toro,Bocas del Toro,Bocas del Toro (Cab.),Primaria Oficial,"9° 25' 5.312"""" N","82° 19' 17.706"""" W"
Esc. Milla 7 1/2,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 21' 49.265"""" N","82° 26' 53.345"""" W"
Esc. Qda. Guabo,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 17' 54.819"""" N","82° 32' 46.599"""" W"
Esc. Qda. Cochigro,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 19' 15.103"""" N","82° 33' 32.486"""" W"
Esc. Sta. Rosa,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 20' 48.330"""" N","82° 31' 18.670"""" W"
Esc. Solón,Bocas del Toro,Changuinola,El Teribe,Primaria Oficial,"9° 21' 39.128"""" N","82° 36' 22.640"""" W"
Esc. Sta. Marta,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 24' 54.669"""" N","82° 34' 52.632"""" W"
Esc. Siey-yic,Bocas del Toro,Changuinola,El Teribe,Primaria Oficial,"9° 23' 15.808"""" N","82° 38' 52.935"""" W"
I.P.T. Bocas del Toro,Bocas del Toro,Changuinola,Changuinola (Cab.),Secundaria Oficial,"9° 28' 17.261"""" N","82° 30' 55.817"""" W"
Esc. Finca 3,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 25' 38.026"""" N","82° 28' 37.608"""" W"
Esc. Dos Caños,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 34' 50.188"""" N","82° 47' 2.165"""" W"
Esc. Milla 05,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 20' 50.596"""" N","82° 25' 42.812"""" W"
Esc. Bahía Grande,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 14' 32.803"""" N","82° 17' 16.114"""" W"
Esc. Finca 41,Bocas del Toro,Changuinola,Changuinola (Cab.),Primaria Oficial,"9° 28' 16.506"""" N","82° 30' 49.199"""" W"
Esc. Qda. El Bajo,Bocas del Toro,Chiriqui Grande,Chiriqui Grande (Cab.),Primaria Oficial,"8° 56' 22.951"""" N","82° 7' 53.055"""" W"
Esc. San San,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 26' 59.099"""" N","82° 40' 38.214"""" W"
Esc. Nueva Activa Solarte,Bocas del Toro,Bocas del Toro,Bastimentos,Primaria Oficial,"9° 19' 56.658"""" N","82° 13' 8.560"""" W"
Esc. Cerro Brujo,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 11' 11.632"""" N","82° 11' 18.832"""" W"
Esc. Secretario,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 12' 26.736"""" N","82° 12' 43.511"""" W"
Esc. San Juan,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 22' 10.379"""" N","82° 31' 5.322"""" W"
Esc. Sta. Marta Anexa,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 24' 54.588"""" N","82° 34' 52.055"""" W"
Esc. Boca de Yorkín Anexa,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 35' 18.394"""" N","82° 51' 41.195"""" W"
Esc. Dos Caños (Anexa),Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 34' 50.859"""" N","82° 47' 2.220"""" W"
Esc. San San Medio (Anexa),Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 25' 12.193"""" N","82° 37' 25.125"""" W"
Esc. Alto Yorkín,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 33' 58.689"""" N","82° 52' 53.211"""" W"
Esc. Alto La Gloria,Bocas del Toro,Chiriqui Grande,Miramar,Primaria Oficial,"8° 58' 50.293"""" N","82° 14' 21.538"""" W"
Esc. Bajo El Cedro,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 6' 16.460"""" N","82° 17' 49.623"""" W"
Esc. Palma Real,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 2' 21.982"""" N","82° 17' 57.039"""" W"
Esc. Loma Partida,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 8' 56.114"""" N","82° 10' 17.033"""" W"
Esc. Bisiria # 3,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 10.350"""" N","82° 41' 55.476"""" W"
C.E.B.G. VALLE DE RISCO,Bocas del Toro,Changuinola,Valle del Risco,Secundaria Oficial,"9° 13' 45.584"""" N","82° 25' 43.690"""" W"
Col. Sec. de Guabito,Bocas del Toro,Changuinola,Guabito,Secundaria Oficial,"9° 29' 28.961"""" N","82° 36' 30.577"""" W"
I.P.T. Chiriqui Grande,Bocas del Toro,Chiriqui Grande,Punta Peña,Secundaria Oficial,"8° 55' 7.201"""" N","82° 11' 0.403"""" W"
Esc. Loma Azul,Bocas del Toro,Bocas del Toro,Cauchero,Primaria Oficial,"9° 9' 44.568"""" N","82° 20' 34.998"""" W"
Esc. Alto de Dos Caños,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 33' 3.048"""" N","82° 46' 13.797"""" W"
Esc. Sieykin-Teribe,Bocas del Toro,Changuinola,El Teribe,Primaria Oficial,"9° 23' 42.725"""" N","82° 39' 47.016"""" W"
Esc. Valle Escondido,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 16' 20.333"""" N","82° 17' 15.014"""" W"
C.E.B.G. FINCA 62,Bocas del Toro,Changuinola,Changuinola (Cab.),Secundaria Oficial,"9° 26' 58.795"""" N","82° 29' 3.783"""" W"
Esc. Bajo Culubre,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 4' 33.993"""" N","82° 33' 32.431"""" W"
Esc. Bahía Honda,Bocas del Toro,Bocas del Toro,Bastimentos,Primaria Oficial,"9° 18' 50.184"""" N","82° 9' 18.667"""" W"
Esc. Cerro Palma,Bocas del Toro,Bocas del Toro,Cauchero,Primaria Oficial,"9° 5' 18.864"""" N","82° 23' 14.797"""" W"
Esc. Cauchero Arriba,Bocas del Toro,Bocas del Toro,Cauchero,Primaria Oficial,"9° 10' 9.499"""" N","82° 17' 43.911"""" W"
Universidad Tecnológica,Bocas del Toro,Changuinola,El Empalme,Universidad,"9° 25' 17.173"""" N","82° 31' 23.421"""" W"
Esc. Valle de Las Perlas,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 15' 10.906"""" N","82° 23' 25.866"""" W"
Esc. Valle de Agua Abajo,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 14' 21.174"""" N","82° 22' 6.404"""" W"
Esc. Renacimiento,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 12' 52.097"""" N","82° 22' 35.602"""" W"
Esc. Qda. Piti,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 11' 49.650"""" N","82° 20' 24.945"""" W"
Esc. Qda. Platano,Bocas del Toro,Bocas del Toro,Cauchero,Primaria Oficial,"9° 8' 36.616"""" N","82° 23' 9.853"""" W"
Esc. Qda. del Pueblo,Bocas del Toro,Bocas del Toro,Cauchero,Primaria Oficial,"9° 8' 38.228"""" N","82° 21' 52.425"""" W"
Esc. Qda. Pinzón,Bocas del Toro,Bocas del Toro,Cauchero,Primaria Oficial,"9° 9' 41.179"""" N","82° 21' 35.395"""" W"
Esc. Los Higuerones,Bocas del Toro,Bocas del Toro,Cauchero,Primaria Oficial,"9° 9' 4.950"""" N","82° 19' 33.034"""" W"
Esc. Qda. Huaca,Bocas del Toro,Bocas del Toro,Cauchero,Primaria Oficial,"9° 7' 42.836"""" N","82° 23' 40.615"""" W"
Esc. Loma Estrella,Bocas del Toro,Changuinola,Almirante,Primaria Oficial,"9° 10' 42.132"""" N","82° 18' 3.877"""" W"
Esc. Alto de Sorí,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 20' 44.501"""" N","82° 33' 6.915"""" W"
Esc. Loma Muleto,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 21' 45.942"""" N","82° 28' 14.316"""" W"
Esc. Qda. de Puerco,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 17' 24.714"""" N","82° 34' 31.620"""" W"
Esc. Sorí,Bocas del Toro,Changuinola,El Teribe,Primaria Oficial,"9° 21' 44.999"""" N","82° 33' 20.126"""" W"
Esc. Chiriquicito,Bocas del Toro,Chiriqui Grande,Rambala,Primaria Oficial,"8° 59' 12.455"""" N","82° 8' 29.833"""" W"
Esc. Chiriquicito No 2,Bocas del Toro,Chiriqui Grande,Rambala,Primaria Oficial,"8° 57' 18.967"""" N","82° 10' 36.700"""" W"
Esc. Puente Blanco,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 28' 53.796"""" N","82° 35' 42.236"""" W"
Esc. Barranco Medio,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 31' 35.653"""" N","82° 42' 57.467"""" W"
Esc. Agua Salud,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 30' 26.145"""" N","82° 49' 18.837"""" W"
Esc. San San Mona,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 25' 23.165"""" N","82° 38' 2.754"""" W"
Esc. Santa Clara,Bocas del Toro,Changuinola,Guabito,Primaria Oficial,"9° 29' 52.383"""" N","82° 45' 36.415"""" W"
Esc. Molejones,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 0' 36.113"""" N","82° 16' 14.343"""" W"
Esc. Las Cañas,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 1' 11.258"""" N","82° 16' 45.544"""" W"
Esc. Rio Auyama,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 8' 13.503"""" N","82° 18' 2.560"""" W"
Esc. Garza,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 7' 2.188"""" N","82° 17' 52.534"""" W"
Esc. Valle Seco,Bocas del Toro,Chiriqui Grande,Punta Robalo,Primaria Oficial,"9° 2' 36.520"""" N","82° 17' 1.996"""" W"
Esc. Loma Bandera,Bocas del Toro,Changuinola,El Teribe,Primaria Oficial,"9° 24' 39.410"""" N","82° 39' 47.484"""" W"
Esc. Cuyñ-King,Bocas del Toro,Changuinola,El Teribe,Primaria Oficial,"9° 22' 48.738"""" N","82° 37' 47.263"""" W"
Esc. El Aguacate,Bocas del Toro,Bocas del Toro,Tierra Oscura,Primaria Oficial,"9° 10' 2.893"""" N","82° 13' 15.097"""" W"
Esc. Soledad del Risco,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 14' 41.745"""" N","82° 27' 43.883"""" W"
Esc. Qda. Pita,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 12' 17.919"""" N","82° 23' 45.668"""" W"
Esc. Oriente de Risco,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 11' 46.508"""" N","82° 25' 43.087"""" W"
Esc. Changuinola Arriba,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 10' 35.520"""" N","82° 29' 35.122"""" W"
Esc. Qda. Pluma,Bocas del Toro,Changuinola,Valle del Risco,Primaria Oficial,"9° 13' 54.467"""" N","82° 27' 20.428"""" W"
Esc. Finca 15,Bocas del Toro,Changuinola,El Empalme,Primaria Oficial,"9° 24' 43.767"""" N","82° 31' 38.555"""" W"
C.E.B.G. Nievecita,Bocas del Toro,Changuinola,Guabito,Secundaria Oficial,"9° 32' 42.453"""" N","82° 44' 25.140"""" W"
C.E.B.G. PUNTA PEÑA,Bocas del Toro,Chiriqui Grande,Punta Peña,Secundaria Oficial,"8° 54' 47.783"""" N","82° 11' 8.949"""" W"
Universidad de Panama,Bocas del Toro,Changuinola,El Empalme,Universidad,"9° 25' 12.361"""" N","82° 31' 22.131"""" W"
Esc. Eric del Valle,Cocle,Aguadulce,El Roble,Primaria Oficial,"8° 12' 4.095"""" N","80° 42' 14.413"""" W"
Esc. Rogelio Robles,Cocle,Aguadulce,El Roble,Primaria Oficial,"8° 11' 36.139"""" N","80° 43' 58.236"""" W"
Esc. Cerro Morado,Cocle,Aguadulce,Pocri,Primaria Oficial,"8° 14' 26.401"""" N","80° 34' 41.878"""" W"
Esc. Paula F. de Jiménez,Cocle,Aguadulce,Pocri,Primaria Oficial,"8° 15' 52.641"""" N","80° 35' 22.008"""" W"
Esc. Los Volcanes,Cocle,Aguadulce,El Cristo,Primaria Oficial,"8° 16' 37.716"""" N","80° 38' 37.486"""" W"
Esc. El Estero de San José,Cocle,Aguadulce,El Cristo,Primaria Oficial,"8° 13' 15.780"""" N","80° 36' 40.727"""" W"
Esc. Salitrosa,Cocle,Aguadulce,El Roble,Primaria Oficial,"8° 12' 36.873"""" N","80° 38' 11.145"""" W"
Esc. Francisca C. de Sierra,Cocle,Aguadulce,El Roble,Primaria Oficial,"8° 10' 11.682"""" N","80° 38' 9.195"""" W"
Esc. El Jaguito,Cocle,Aguadulce,El Roble,Primaria Oficial,"8° 10' 42.251"""" N","80° 41' 14.428"""" W"
Esc. San Martín de Porras,Cocle,Aguadulce,Pocri,Primaria Oficial,"8° 15' 34.642"""" N","80° 32' 19.385"""" W"
Esc. Juan D. Arosemena,Cocle,Aguadulce,Pocri,Primaria Oficial,"8° 15' 28.893"""" N","80° 32' 55.117"""" W"
Esc. Perú,Cocle,Aguadulce,Pocri,Primaria Oficial,"8° 15' 10.616"""" N","80° 33' 21.347"""" W"
Col. Rodolfo Chiari,Cocle,Aguadulce,Aguadulce (Cab.),Secundaria Oficial,"8° 14' 29.363"""" N","80° 32' 57.561"""" W"
Esc. Ana Polo Tapia,Cocle,Aguadulce,Barrios Unidos,Primaria Oficial,"8° 14' 18.227"""" N","80° 33' 14.672"""" W"
Esc. Abelardo Herrera,Cocle,Aguadulce,Barrios Unidos,Primaria Oficial,"8° 14' 10.219"""" N","80° 32' 22.653"""" W"
Esc. Sebastián Sucre,Cocle,Nata,El Caño,Primaria Oficial,"8° 24' 23.540"""" N","80° 31' 8.547"""" W"
Esc. Simeón Valderrama,Cocle,Nata,El Caño,Primaria Oficial,"8° 24' 15.430"""" N","80° 32' 32.484"""" W"
Esc. Juan Bautista Rosas,Cocle,Penonome,Cañaveral,Primaria Oficial,"8° 32' 31.263"""" N","80° 26' 8.395"""" W"
Esc. Llano de La Palma,Cocle,Nata,Capellanía,Primaria Oficial,"8° 16' 39.564"""" N","80° 34' 52.728"""" W"
Esc. Roberto F. Chiari,Cocle,Nata,Capellanía,Primaria Oficial,"8° 18' 2.734"""" N","80° 33' 2.698"""" W"
Esc. La Venta,Cocle,La Pintada,Llano Grande,Primaria Oficial,"8° 37' 59.885"""" N","80° 24' 52.312"""" W"
Esc. Llano Grande,Cocle,La Pintada,Llano Grande,Primaria Oficial,"8° 38' 22.704"""" N","80° 26' 24.546"""" W"
Esc. La Soledad,Cocle,Ola,La Pava,Primaria Oficial,"8° 25' 47.413"""" N","80° 36' 49.706"""" W"
Esc. Ola,Cocle,Ola,Ola (Cab.),Primaria Oficial,"8° 25' 16.278"""" N","80° 39' 4.181"""" W"
Esc. Sofía Quirós de Tejeira,Cocle,Penonome,Penonome (Cab.),Primaria Oficial,"8° 30' 42.900"""" N","80° 22' 8.696"""" W"
Esc. Federico Zuñiga,Cocle,Penonome,Penonome (Cab.),Primaria Oficial,"8° 31' 18.120"""" N","80° 21' 53.095"""" W"
Esc. Simeón Conte,Cocle,Penonome,Penonome (Cab.),Primaria Oficial,"8° 31' 10.623"""" N","80° 21' 26.096"""" W"
