name,province,district,county,type,lat,long
Esc. Parita,Herrera,Parita,Parita (Cab.),Primaria Oficial,"7° 59' 53.744"""" N","80° 31' 2.093"""" W"
Esc. Hildaura Vieto,Herrera,Pese,Pese (Cab.),Primaria Oficial,"7° 54' 28.781"""" N","80° 36' 43.417"""" W"
Esc. Potuga,Herrera,Parita,Potuga,Primaria Oficial,"8° 4' 0.273"""" N","80° 37' 6.104"""" W"
Esc. París,Herrera,Parita,París,Primaria Oficial,"8° 3' 25.871"""" N","80° 33' 14.976"""" W"
Esc. Cabuya,Herrera,Parita,Cabuya,Primaria Oficial,"8° 1' 49.100"""" N","80° 37' 55.133"""" W"
Esc. Los Higos,Herrera,Parita,Cabuya,Primaria Oficial,"8° 0' 29.228"""" N","80° 39' 35.576"""" W"
Esc. Portobelillo,Herrera,Parita,Portobelillo,Primaria Oficial,"8° 1' 4.552"""" N","80° 35' 56.424"""" W"
Esc. El Limón,Herrera,Santa Maria,El Límón,Primaria Oficial,"8° 3' 26.735"""" N","80° 46' 26.719"""" W"
Esc. La Salamanca,Herrera,Santa Maria,Los Canelos,Primaria Oficial,"8° 6' 29.575"""" N","80° 44' 18.835"""" W"
Esc. Los Canelos,Herrera,Santa Maria,Los Canelos,Primaria Oficial,"8° 7' 22.796"""" N","80° 42' 5.405"""" W"
Esc. Artes Mecánica,Herrera,Santa Maria,Los Canelos,Secundaria Oficial,"8° 7' 34.896"""" N","80° 41' 9.702"""" W"
Esc. Ernestina Chiari,Herrera,Santa Maria,El Rincón,Primaria Oficial,"8° 7' 7.946"""" N","80° 36' 45.643"""" W"
Esc. El Barrero,Herrera,Pese,El Barrero (norte No.2),Primaria Oficial,"7° 55' 58.657"""" N","80° 31' 34.230"""" W"
Esc. El Cocuyo,Herrera,Pese,Rincón Hondo (sur No.2),Primaria Oficial,"7° 51' 51.180"""" N","80° 36' 43.968"""" W"
Esc. Rincón Hondo,Herrera,Pese,Rincón Hondo (sur No.2),Primaria Oficial,"7° 50' 32.514"""" N","80° 36' 0.652"""" W"
Esc. Los Cerritos,Herrera,Los Pozos,Los Cerritos,Primaria Oficial,"7° 48' 11.741"""" N","80° 36' 56.821"""" W"
Esc. Lucía de Pimentel,Herrera,Los Pozos,Los Pozos (Cab.),Primaria Oficial,"7° 47' 14.712"""" N","80° 38' 37.705"""" W"
Esc. Francisco Henríquez,Herrera,Los Pozos,Los Pozos (Cab.),Primaria Oficial,"7° 47' 26.300"""" N","80° 40' 54.569"""" W"
Esc. Los Carates,Herrera,Ocu,Peñas Chatas,Primaria Oficial,"8° 0' 44.907"""" N","80° 47' 12.368"""" W"
Esc. Llano Largo,Herrera,Ocu,Peñas Chatas,Primaria Oficial,"8° 1' 40.859"""" N","80° 46' 26.087"""" W"
Esc. Qda. de Agua,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 58' 57.486"""" N","80° 47' 23.300"""" W"
Esc. El Hatillo,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 57' 56.740"""" N","80° 46' 47.291"""" W"
Esc. Valle Rico,Herrera,Ocu,Ocu (Cab.),Primaria Oficial,"7° 54' 21.512"""" N","80° 45' 45.933"""" W"
Esc. La Polonia,Herrera,Ocu,Llano Grande,Primaria Oficial,"7° 57' 16.465"""" N","80° 42' 6.970"""" W"
Esc. Llano Hato,Herrera,Ocu,Llano Grande,Primaria Oficial,"7° 58' 15.340"""" N","80° 41' 9.731"""" W"
Esc. Las Margaritas,Herrera,Las Minas,Las Minas (Cab.),Primaria Oficial,"7° 47' 56.783"""" N","80° 42' 50.038"""" W"
Esc. Cerro Gordo,Herrera,Las Minas,Las Minas (Cab.),Primaria Oficial,"7° 47' 24.758"""" N","80° 41' 59.418"""" W"
Esc. John F. Kenedy,Herrera,Chitre,La Arena,Primaria Oficial,"7° 58' 9.396"""" N","80° 27' 47.165"""" W"
Esc. Monagrillo,Herrera,Chitre,Monagrillo,Primaria Oficial,"7° 58' 48.753"""" N","80° 26' 4.002"""" W"
Esc. Juan T. Del Busto,Herrera,Chitre,Chitre (Cab.),Primaria Oficial,"7° 57' 44.316"""" N","80° 26' 13.230"""" W"
Esc. I.P.H.E.,Herrera,Chitre,San Juan Bautista,I.P.H.E.,"7° 57' 52.598"""" N","80° 26' 16.334"""" W"
Esc. Hipolito Pérez Tello,Herrera,Chitre,San Juan Bautista,Primaria Oficial,"7° 57' 51.756"""" N","80° 25' 28.132"""" W"
Esc. Tomás Herrera,Herrera,Chitre,San Juan Bautista,Primaria Oficial,"7° 57' 55.489"""" N","80° 25' 43.183"""" W"
Esc. Evelio D. Carrizo,Herrera,Chitre,Llano Bonito,Primaria Oficial,"7° 58' 18.069"""" N","80° 25' 44.280"""" W"
Esc. Eneida M. de Castillero,Herrera,Chitre,Llano Bonito,Primaria Oficial,"7° 58' 33.427"""" N","80° 25' 8.191"""" W"
Esc. Boca de Parita,Herrera,Chitre,Monagrillo,Primaria Oficial,"8° 0' 39.845"""" N","80° 27' 4.813"""" W"
Esc. La Concepción,Herrera,Parita,Potuga,Primaria Oficial,"8° 3' 54.996"""" N","80° 41' 49.172"""" W"
Colegio José D. Crespo,Herrera,Chitre,Chitre (Cab.),Secundaria Oficial,"7° 57' 37.453"""" N","80° 25' 19.425"""" W"
Colegio Psicopedagógico Bilingüe,Herrera,Chitre,Chitre (Cab.),Privada,"7° 57' 50.591"""" N","80° 25' 49.363"""" W"
C.O.I.F.,Herrera,Chitre,La Arena,C.O.I.F,"7° 58' 27.438"""" N","80° 27' 31.152"""" W"
Colegio de Monagrillo,Herrera,Chitre,Monagrillo,Secundaria Oficial,"7° 58' 37.343"""" N","80° 25' 52.604"""" W"
Esc. Puerto Limón,Herrera,Parita,Parita (Cab.),Primaria Oficial,"8° 0' 9.725"""" N","80° 29' 27.472"""" W"
Esc. El Pedernal,Herrera,Parita,Cabuya,Primaria Oficial,"8° 1' 46.952"""" N","80° 37' 3.247"""" W"
Esc. LLano de la Cruz,Herrera,Parita,Llano de La Cruz,Primaria Oficial,"7° 57' 30.769"""" N","80° 38' 26.224"""" W"
Esc. Los Castillos,Herrera,Parita,Los Castillos,Primaria Oficial,"7° 59' 11.152"""" N","80° 36' 56.026"""" W"
Esc. La Valencia,Herrera,Parita,Portobelillo,Primaria Oficial,"7° 59' 31.566"""" N","80° 35' 15.471"""" W"
Colegio de Pese,Herrera,Pese,Pese (Cab.),Secundaria Oficial,"7° 54' 22.994"""" N","80° 36' 33.749"""" W"
Esc. El Ciruelo,Herrera,Pese,El Ciruelo (oeste No.2),Primaria Oficial,"7° 53' 20.154"""" N","80° 40' 31.719"""" W"
Esc. Las Mesitas,Herrera,Pese,El Ciruelo (oeste No.2),Primaria Oficial,"7° 53' 16.470"""" N","80° 42' 7.959"""" W"
Esc. El Balillo,Herrera,Pese,El Ciruelo (oeste No.2),Primaria Oficial,"7° 50' 57.426"""" N","80° 42' 48.554"""" W"
Esc. La Trinidad,Herrera,Pese,El Ciruelo (oeste No.2),Primaria Oficial,"7° 54' 42.943"""" N","80° 42' 1.478"""" W"
Esc. El Pedregoso,Herrera,Pese,El Pedregoso (oeste No.1),Primaria Oficial,"7° 56' 35.513"""" N","80° 38' 14.908"""" W"
Esc. La Candelaria,Herrera,Pese,El Pedregoso (oeste No.1),Primaria Oficial,"7° 55' 58.888"""" N","80° 39' 43.816"""" W"
Esc. El Pedregosito,Herrera,Pese,El Pedregoso (oeste No.1),Primaria Oficial,"7° 55' 30.237"""" N","80° 37' 51.177"""" W"
Esc. Bienvenido Quintero,Herrera,Pese,El Pedregoso (oeste No.1),Primaria Oficial,"7° 54' 37.867"""" N","80° 38' 3.620"""" W"
Esc. Sabana Grande,Herrera,Pese,Sabanagrande (sur No.1),Primaria Oficial,"7° 52' 58.442"""" N","80° 38' 13.397"""" W"
Esc. Peñas Prietas,Herrera,Pese,Sabanagrande (sur No.1),Primaria Oficial,"7° 51' 35.448"""" N","80° 38' 1.423"""" W"
Esc. Bahía Honda,Herrera,Pese,Sabanagrande,Primaria Oficial,"7° 51' 9.168"""" N","80° 40' 33.888"""" W"
Esc. Los Corralillos,Herrera,Pese,Sabanagrande (sur No.1),Primaria Oficial,"7° 52' 13.327"""" N","80° 41' 14.785"""" W"
Esc. Pueblo Nuevo,Herrera,Pese,El Barrero (norte No.2),Primaria Oficial,"7° 55' 33.461"""" N","80° 35' 3.687"""" W"
Esc. Ricauter Salamín,Herrera,Pese,El Barrero (norte No.2),Primaria Oficial,"7° 56' 4.201"""" N","80° 32' 32.568"""" W"
Esc. Las Cabras,Herrera,Pese,Las Cabras (este),Primaria Oficial,"7° 52' 38.489"""" N","80° 32' 50.668"""" W"
Esc. La Arenita,Herrera,Pese,Las Cabras (este),Primaria Oficial,"7° 52' 26.012"""" N","80° 33' 57.056"""" W"
Esc. El Ciruelito,Herrera,Pese,Las Cabras (este),Primaria Oficial,"7° 51' 16.499"""" N","80° 33' 53.456"""" W"
Esc. Calabazo,Herrera,Pese,Las Cabras (este),Primaria Oficial,"7° 51' 11.384"""" N","80° 35' 33.982"""" W"
Esc. Las Flores,Herrera,Pese,Las Cabras (este),Primaria Oficial,"7° 54' 55.902"""" N","80° 34' 43.555"""" W"
Esc. El Pájaro,Herrera,Pese,El Pájaro (norte No.1),Primaria Oficial,"7° 56' 45.314"""" N","80° 33' 55.846"""" W"
Esc. El Jazmín,Herrera,Pese,El Pájaro (norte No.1),Primaria Oficial,"7° 56' 53.500"""" N","80° 35' 30.469"""" W"
Esc. Esquiguita,Herrera,Pese,Rincón Hondo (sur No.2),Primaria Oficial,"7° 50' 37.319"""" N","80° 38' 14.689"""" W"
Esc. Borrola,Herrera,Pese,Rincón Hondo,Primaria Oficial,"7° 49' 35.462"""" N","80° 38' 7.712"""" W"
